Q488383	object	anything that may be observed or acted upon by a subject
Q35120	entity	anything that can be considered, discussed, or observed
Q7048977	abstract entity	entity that does not have a physical existence, including abstract objects and properties
Q53617489	independent continuant	BFO subclass of persistant entities, which separately includes material entities and immaterial entities
Q103940464	continuant	entity that persists, endures, or continues to exist through time while maintaining its identity
Q58415929	spatio-temporal entity	object with a position in time and/or space, and possibly an extent in time and/or space
Q937228	property	predominant feature that characterizes a being, a thing, a phenomenon, etc. and which differentiates one being from another, one thing from another
Q67518978	occurrent	entity that unfolds itself in time, or instantaneous boundary of such an entity (for example a beginning or an ending), or temporal or spatiotemporal region that such an entity occupies
Q1190554	occurrence	occurrence of a fact or object in space-time; instantiation of a property in an object
Q53617407	material entity	independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time
Q4406616	concrete object	a particular or specific instance of an entity. To describe tangible or physical objects use Q223557
Q132907471	individual item	a non-class item, largest first order class
Q27096213	geographic entity	relatively stationary place or entity that can be geographically identified, located, or described
Q123349660	geolocatable entity	entity that may be assigned mostly stable geographic coordinates and/or geocoded
Q17334923	physical location	property describing the position of something in space
Q618123	geographical feature	components of planets that can be geographically located
Q16686448	artificial object	anything created by humans (either material or mental)
Q386724	work	intellectual or artistic creation
Q2434238	heritage	property, custom, or other material, immaterial or natural object inherited from previous generations, and conserved for its importance for future generations
Q210272	cultural heritage	physical artifact or intangible attribute of a society inherited from past generations
Q1791627	cultural artifact	artifact created or modified by humans which gives information about the culture of its creator and users
Q30060700	scientific object	type of object
Q3695082	sign	semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.
Q1272626	representation	entity or process that portrays something else, usually in a simplified or approximated manner
Q930933	relation	general relation between different objects or individuals
Q864377	multiset	mathematical set with repetitions allowed
Q846537	generalized function	generalizations of mathematical functions, elements of a space that extends a function space
Q845789	observable	in physics, a dynamic variable that can be measured
Q748349	mathematical structure	additional mathematical object that, in some manner, attaches (or relates) to that set to endow it with some additional meaning or significance
Q71550118	individual quantity	superclass of physical, chemical, ... quantity; members are individual quantities like 5 kg, 2 apples, ...
Q629085	multivalued function	binary relation, which is left-total, but may not be right-unique ; isomorph to another function from the same source set, but to the power set of the codomain of the initial function
Q54940067	serial relation	binary relation such that every element of the left set has a corresponding element in the right set
Q5371079	emic unit	anything that comes under any of the various linguistic concepts named by names ending in "-eme", such as phoneme or morpheme
Q4833865	abstract structure	type of abstraction in science, mathematics, and philosophy
Q47574	unit of measurement	real scalar quantity, defined and adopted by convention, with which any other quantity of the same kind can be compared to express the ratio of the two quantities as a number (VIM)
Q4373292	physical property	attribute of a physical system or body; OR non-chemical property of a material
Q4026292	action	something an agent can do or perform
Q39875001	measure	standard against which something can be judged
Q38885242	physico-chemical property	type of property
Q370502	mapping	binary relation which is left-total (defined on all its input set)
Q36161	set	well-defined mathematical collection of distinct objects
Q309314	quantity	property that exists in a range of magnitudes or multitudes; property that can exist as a magnitude or multitude
Q29182544	assignment	any act of associating items in one class with items in another class, using any or no criteria
Q2912517	value	notion in mathematics
Q246672	mathematical object	abstract object in mathematics
Q24034552	mathematical concept	abstract entity in mathematics
Q2204117	symmetric tensor	tensor invariant under permutations of vectors it acts on
Q2198779	unit	entity regarded or used as an elementary structural or functional constituent to measure, analyse or describe another entity
Q217594	class	mathematical collection of sets that can be defined based on a property of its members (set theory)
Q2145290	mental representation	hypothetical internal cognitive symbol that represents external reality
Q2091629	magnitude	mathematical concept related to comparison and ordering
Q205464	algebraic structure	set equipped with one or more finitary operations defined on it
Q203066	relation	property that assigns truth values to k-tuples of individuals
Q1952404	multilinear map	from two vector spaces to a third one
Q188524	tensor	multilinear map on some combination of scalars, vectors, covectors, and tensors
Q1851710	structure	set together with an interpretation of a given first-order language
Q181175	scalar quantity	quantity represented by a scalar: quantity having no direction
Q1786828	constituent	word or a group of words that functions as a single unit within a hierarchical structure
Q1756942	partial function	function whose actual domain of definition may be smaller than its input set
Q15916540	semantic unit	linguistic unit that carries meaning (citation needed; does it really *carry* meaning? how many meanings does a semantic unit have?)
Q151885	concept	semantic unit understood in different ways, e.g. as mental representation, ability or abstract object (philosophy)
Q1347367	aptitude	ability to perform an action or fulfill a role
Q134488202	possibly infinitary structure	generalization of structure which allows infinitary operations and relations
Q1325769	antisymmetric tensor	tensor equal to the negative of any of its transpositions
Q130901	binary relation	set of ordered pairs with first element in A and second element in B
Q1289248	scalar	single field element, e.g. real number, in the context of linear algebra
Q1207505	quality	distinguishing feature
Q11953984	linguistic unit	any of a range of units of language, whether a word, phrase, clause, sentence, paragraph, whole conversation or a story, morpheme, grapheme, phoneme and syllable
Q11348	function	association of a single output to each input
Q107715	physical quantity	quantitative characterization of an aspect of a physical entity, phenomenon, event, process, transformation, relation, system, or substance
Q107223533	relation (mathematics)	
Q123410745	geometric object	
Q25404640	spatial object	thing occupying some space, entity that can be contained within a region of space
Q472971	space	mathematical notion; set with an additional structure
Q179899	topological space	set of points and set of neighborhoods that satisfy axioms relating those points to those neighborhoods
Q3965271	subclass	class whose elements are all elements of a given other class
Q26713767	spatial region	zone in physical space defined by fixed or transient boundaries
Q23956024	spacetime region	class that contains 4 dimensional point sets (volumes) in physical spacetime
Q213363	open set	set that does not contain any of its boundary points
Q177646	subset	set whose elements are all contained in another set
Q1491995	connected space	topological space that cannot be written as the disjoint union of two nonempty open subsets
Q127244	Gδ set	countable intersection of open sets
Q124711467	immaterial entity	BFO class
Q11235244	domain	connected open subset of a finite-dimensional vector space
Q82794	region	2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences
Q27096235	artificial geographic entity	non-natural geographic entities such as settlements, infrastructure, and excavations
Q99527517	collective entity	entity that is a composite of other entities
Q58778	system	set of interacting or interdependent components
Q483247	phenomenon	any object, fact, or occurrence perceived or observed
Q30241068	observable entity	entity which can be experienced or observed directly by human senses
Q3505845	state	abstract term that denotes the presence of stable values of a set of variables of an object
Q6671777	structure	arrangement and organization of interrelated elements in an object or system, or the object or system so organized
Q12893838	order	state of a set of things being arranged
Q28813620	set	group of items regarded as one
Q16887380	group	well-defined, enumerable collection of discrete entities that form a collective whole
Q98119401	group or class of physical objects	category of physical objects that share the same characteristics
Q61961344	group of physical objects	
Q4835091	territory	geographic region belonging to or controlled by a person or entity
Q15642541	human-geographic territorial entity	territorial entity of which the borders are determined by physiographic and human features
Q21871294	group or class of living things	second-order class of living things
Q16334298	group of living things	set of live physical entities of any nature
Q16334295	group of humans	any set of human beings
Q134602526	group or class of beings	second-order class of entities with agency
Q134602505	group of beings	any set of entities with agency
Q134601875	group or class of people	second-order class of people (beings with personhood)
Q134601727	group of persons	any set of beings with personhood (for groups of humans, use Q16334295 [group of humans] with P31 [instance of])
Q134261520	group or class of humans	second-order class of humans
Q1639378	social system	patterned series of interrelationships existing between individuals, groups, and institutions
Q830077	subject	being who has a unique consciousness and/or unique personal experiences, or an entity that has a relationship with another entity that exists outside of itself
Q24229398	being	distinct and identifiable entity with agency, capable of performing actions
Q854457	complex system	system composed of many interacting components
Q43229	organization	social entity established to meet needs or pursue goals
Q131085629	collective agent	an agent who is a gathering or organization of two or more persons that bears a particular name and that is capable of acting as a unit
Q106668099	corporate body	in library science, a collective agent that is composed of persons who are organized for a common purpose or activity; collective agent includes corporate bodies and families
Q106559804	person or organization	class of agents
Q211606	social structure	aggregate of patterned social arrangements in society
Q178706	institution	structure or mechanism of social order and cooperation governing the behaviour of a set of individuals within a given community
Q7210356	political organization	group involved with politics
Q130370861	law, advocacy and politics	activity of nonprofit-organizations
Q56061	administrative territorial entity	territorial entity for administration purposes, with or without its own local government
Q3455524	administrative region	term for certain administrative divisions in some countries
Q18810687	political institution	part of the political system of a state
Q16562419	political entity	territorial political body such as a state or local government
Q1063239	polity	group of people who are collectively united by a self-reflected cohesive force such as identity, who have a capacity to mobilize resources, and are organized by some form of institutionalized hierarchy
Q1048835	political territorial entity	region accepted to be in the jurisdiction of a particular government entity
Q13196193	part	separate element of a larger entity. For integral parts, see Q1310239.
Q48907157	section of populated place	inhabited territory part of a human settlement
Q12076836	administrative territorial entity of a single country	class of all the administrative division types used by a given country administration
Q1799794	administrative territorial entity of a specific level	type of administrative territorial entity
Q3778211	legal person	any human or non-human entity that is recognized as having privileges and obligations; a legal fiction which is used to abstract away the differences between natural persons, juridical persons and other entities such as countries
Q155076	juridical person	organization recognized by law as a fictitious person
Q895526	governing body	a designated body with authority
Q2659904	government organization	organization administrated by a government authority or agency
Q1549152	public institution	an organization for public use
Q192611	electoral unit	territorial division made or used for elections
Q15284	municipality	administrative division having corporate status and usually powers of self-government or jurisdiction
Q223557	physical object	singular aggregation of tangible substance(s) such as matter or radiation, with overall properties
Q2424752	product	anything that can be offered to a market
Q8205328	artificial physical object	physical object made or shaped by humans
Q811430	fixed construction	artificially constructed entity meant to remain at a fixed geographic location
Q994895	technical system	system created through engineering
Q811979	architectural structure	human-designed and -made structure
Q15710813	physical structure	body or assemblage of bodies in space that form a system capable of supporting loads
Q1454986	physical system	portion of the physical universe chosen for analysis; everything outside the system is known as the environment
Q134301417	E25 Human-Made Feature	This class comprises physical features that are purposely created by human activity, such as scratches, artificial caves, artificial water channels, etc. In particular, it includes the information encoding features on mechanical or digital carriers.
Q11908691	artificial physical structure	human-made system of connected force-bearing elements
Q15042037	statistical territorial entity	areas designated as significant due to high population density, economic activity, or other reasons
Q2221906	geographic location	point, line or area on or near Earth
Q163359	local administrative unit in the NUTS system	lower level of division in the NUTS system
Q11618417	LAU 2	former designation type for local administrative units within the EU's NUTS geocode standard
Q14757767	fourth-level administrative division	administrative division subordinate to or under administration of a third-level division
Q21980538	commercial organization	business/company working for profit in contrast to a non-profit company
Q783794	company	legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective
Q167037	corporation	legal entity incorporated through a legislative or registration process
Q192498	administrative territorial entity of France	class grouping all types of territorial divisions of France (administrative or electoral)
Q7188	government	system or group of people governing an organized community, often a state
Q6501447	local government	lowest tier of administration within a sovereign state
Q3266850	commune	administrative entity in different countries
Q837766	local authority	corporation below the sovereign state level that has its own deliberative assembly
Q583865	territorial collectivity of France	French public person using its competences autonomously over a particular territory: commune, department, region, overseas collectivity, or territorial collectivity with specific status
#Q484170	commune of France	France territorial subdivision for municipalities
Q1970309	natural object	naturally occurring object in a natural state, without modification by human effort
Q16686022	natural physical object	natural thing that exists that humans did not make
Q121359	infrastructure	fundamental facilities and systems serving a country, city, or other areas
Q5196078	curved space	spatial geometry which is not "flat" or Euclidean
Q107	space	a three-dimensional extent within which entities exist and have physical relationships to each other
Q35145743	artificial geographic object	alterations to land created by people
Q4430275	social space	physical or virtual space such as a social center, online social media, or other gathering place where people gather and interact
Q294440	public space	places for public use
Q2015628	open space	opening in a public place, in towns and cities squares or plazas
Q111414683	physical social space	physical space where people gather and interact
Q376799	transport infrastructure	fixed installations that allow vehicles to operate
Q11794693	linear construction	construction where one dimension is considerable longer than the other dimensions
Q83620	thoroughfare	transportation route connecting one location to another
Q2874718	axis of communication	
Q123414165	road or street	transport infrastructure
Q1322323	itinerary	route of a journey
Q1297806	transport route	route on which goods, persons or data are transported
Q34442	road	wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use
Q27955379	road transport infrastructure	infrastructure related to road transport
Q113519195	long, thin object	physical object that in Japanese is counted with the 本 counter
Q79007	street	public thoroughfare in a built environment like a village or city
Q99018632	group of geographic locations	set of several geographic entities spread over a geographic region
Q66661745	group of artificial physical objects	group of physical objects made or shaped by human hand
Q18247357	group of structures or buildings	architectural structures or buildings that do not form a building complex, but are treated as a group
Q17489659	group of works	any set of works
Q486972	human settlement	place of any size, in which people permanently live
Q123964505	populated place	place in which people live, permanently or temporarily
#Q13221722	third-level administrative division	administrative division subordinate to or under administration of a second-level division
#Q13220204	second-level administrative division	administrative division subordinate to or under administration of a first-level division
Q3257686	locality	place of human settlement
Q702492	urban area	large area with high population density and infrastructure of built environment
